,trial,response,mean_alpha,mean_beta,mean_gamma,sd_alpha,sd_beta,sd_gamma,p_null,p_reward,value_null,value_reward,amb_level
81,82,1,1.2000024215202456,1.2999998493613805,0.5000000000028794,0.0008737940253597516,0.0002545350096569828,1.1999127415873349e-06,1.0,0.5,5.0,20.0,0.5
82,83,0,1.20000036700855,1.299999907307947,0.5000000000026743,0.0003799172184153886,0.00019967219618297256,1.156367741724271e-06,1.0,0.5,5.0,20.0,0.5
83,84,1,1.2000008195078362,1.2999998798929622,0.5000000000029129,0.000532101005504574,0.00022728676468358638,1.2068294431302893e-06,1.0,0.5,5.0,20.0,0.5
84,85,1,1.2000017643717262,1.2999998344522559,0.5000000000031862,0.000755289644360286,0.00026683570939762554,1.2621819141448145e-06,1.0,0.5,5.0,20.0,0.5
85,86,0,1.2000002504182972,1.2999998955120806,0.5000000000029473,0.0003356808678983654,0.00021199733326415568,1.2139542749032233e-06,1.0,0.5,5.0,20.0,0.5
86,87,1,1.2000005814109806,1.2999998659776126,0.500000000003227,0.00046478921363361705,0.00024009387167231276,1.2702358062347725e-06,1.0,0.5,5.0,20.0,0.5
87,88,0,1.2000000479884239,1.2999999031587202,0.5000000000029832,0.0002286580097187897,0.0002040947433598238,1.2212819021069075e-06,1.0,0.5,5.0,20.0,0.5
88,89,0,1.2000000874657195,1.299999972418474,0.5000000000006353,0.0001984375702450421,0.0001089285212322917,5.635798833868465e-07,1.0,0.5,5.0,50.0,0.74
89,90,1,1.2000002037547415,1.2999999687970931,0.5000000000006575,0.00027439009438406687,0.00011585822779222977,5.733506476621138e-07,1.0,0.5,5.0,20.0,0.5
90,91,0,1.2000000169776333,1.299999971956299,0.500000000000633,0.00013492731276299808,0.00010983713621666761,5.626321112956914e-07,1.0,0.5,5.0,20.0,0.5
91,92,1,1.2000000282326169,1.2999999851131394,0.5000000000004322,0.00012420433996503897,8.00207591501218e-05,4.6492145393176847e-07,1.0,0.13,5.0,50.0,0.0
92,93,0,1.1999999959693495,1.2999999866152538,0.5000000000004315,7.274140362453497e-05,7.58766474045702e-05,4.6451075348035985e-07,1.0,0.5,5.0,20.0,0.5
93,94,1,1.2000000012283722,1.2999999928956993,0.5000000000003336,6.178758134051437e-05,5.527670887537077e-05,4.084378734567262e-07,1.0,0.13,5.0,50.0,0.0
94,95,1,1.2000000041058485,1.2999999962284563,0.5000000000002823,5.533546600132105e-05,4.027414582948905e-05,3.7575624203655937e-07,1.0,0.13,5.0,50.0,0.0
95,96,0,1.1999999983383474,1.2999999966091853,0.5000000000003005,3.509864791402752e-05,3.818738120396879e-05,3.8759184778337924e-07,1.0,0.5,5.0,20.0,0.5
96,97,1,1.1999999997232171,1.2999999982001538,0.500000000000278,2.8899955756667123e-05,2.782114743884178e-05,3.728786555902291e-07,1.0,0.13,5.0,50.0,0.0
97,98,1,1.2000000004737266,1.2999999990444444,0.5000000000002686,2.508779557145071e-05,2.0271137344100404e-05,3.6650296039630945e-07,1.0,0.13,5.0,50.0,0.0
98,99,1,1.2000000008880138,1.2999999994924962,0.5000000000002665,2.29126969275068e-05,1.4772870655717434e-05,3.6496200865142137e-07,1.0,0.13,5.0,50.0,0.0
99,100,0,1.1999999998117996,1.2999999995440006,0.5000000000002941,1.3842345868504525e-05,1.4003216167042772e-05,3.835052351069475e-07,1.0,0.5,5.0,20.0,0.5
100,101,1,1.200000000011636,1.2999999997578944,0.500000000000297,1.1624865867877908e-05,1.0203386995180095e-05,3.85372168921734e-07,1.0,0.13,5.0,50.0,0.0
101,102,1,1.2000000001205637,1.299999999871406,0.500000000000302,1.0297199410062115e-05,7.436172694433709e-06,3.8859090293585997e-07,1.0,0.13,5.0,50.0,0.0
102,103,1,1.2000000001813214,1.2999999999316465,0.5000000000003083,9.564108783165676e-06,5.421492700423197e-06,3.9257596722878425e-07,1.0,0.13,5.0,50.0,0.0
103,104,0,1.1999999999811861,1.2999999999386578,0.5000000000003424,5.527510636850896e-06,5.135922808014582e-06,4.137643606052655e-07,1.0,0.5,5.0,20.0,0.5
104,105,1,1.200000000010569,1.2999999999674157,0.5000000000003503,4.730811597378344e-06,3.7431833169619013e-06,4.1852078218730037e-07,1.0,0.13,5.0,50.0,0.0
105,106,1,1.2000000000266926,1.2999999999826775,0.5000000000003587,4.266432493773216e-06,2.7292354062567496e-06,4.2352292542459024e-07,1.0,0.13,5.0,50.0,0.0
106,107,0,1.1999999999905298,1.2999999999844576,0.5000000000003988,2.7049702550946967e-06,2.5852190302191495e-06,4.465348495862341e-07,1.0,0.5,5.0,20.0,0.5
107,108,1,1.1999999999986672,1.2999999999917433,0.5000000000004085,2.234051214910992e-06,1.884246637158625e-06,4.5200347335019224e-07,1.0,0.13,5.0,50.0,0.0
108,109,1,1.2000000000030813,1.2999999999956102,0.5000000000004189,1.945568743427469e-06,1.3739466899727307e-06,4.5758787876189003e-07,1.0,0.13,5.0,50.0,0.0
109,110,0,1.1999999999084876,1.2999999999160634,0.5000000000000132,5.239656396460776e-06,6.0077397968187395e-06,8.143470079900468e-08,1.0,0.13,5.0,50.0,0.0
110,111,1,1.1999999999514346,1.2999999999554466,0.5000000000000125,3.817033872187353e-06,4.376984586464804e-06,7.922155499381055e-08,1.0,0.13,5.0,50.0,0.0
111,112,1,1.1999999999742266,1.2999999999763474,0.5000000000000123,2.7806713921151998e-06,3.1891479888709423e-06,7.840485350842908e-08,1.0,0.13,5.0,50.0,0.0
112,113,1,1.1999999999863222,1.2999999999874396,0.5000000000000123,2.025693503292415e-06,2.3240282241978288e-06,7.838784266827322e-08,1.0,0.13,5.0,50.0,0.0
113,114,1,1.199999999992741,1.2999999999933258,0.5000000000000123,1.475700701097193e-06,1.6940809157624047e-06,7.88215389159476e-08,1.0,0.13,5.0,50.0,0.0
114,115,1,1.1999999999961473,1.2999999999964498,0.5000000000000125,1.075037337041812e-06,1.235559343886885e-06,7.950863105301308e-08,1.0,0.13,5.0,50.0,0.0
115,116,1,1.1999999999979554,1.2999999999981073,0.5000000000000129,7.831591883448804e-07,9.020627161691974e-07,8.033973865048159e-08,1.0,0.13,5.0,50.0,0.0
116,117,1,1.1999999999989148,1.299999999998987,0.5000000000000131,5.70530454959006e-07,6.598387104039323e-07,8.1254912140675e-08,1.0,0.13,5.0,50.0,0.0
117,118,1,1.199999999999424,1.2999999999994543,0.5000000000000134,4.1563485565381066e-07,4.843631286143175e-07,8.222152159050395e-08,1.0,0.13,5.0,50.0,0.0
118,119,1,1.1999999999996944,1.299999999999702,0.5000000000000139,3.0279830240148813e-07,3.5784645958718924e-07,8.322189746882032e-08,1.0,0.13,5.0,50.0,0.0
119,120,1,1.1999999999998379,1.2999999999998337,0.5000000000000142,2.2060279227893395e-07,2.674063868670196e-07,8.424652222322195e-08,1.0,0.13,5.0,50.0,0.0
120,121,1,1.1999999999999138,1.2999999999999035,0.5000000000000145,1.6073099988597005e-07,2.037062243516785e-07,8.529030884632317e-08,1.0,0.13,5.0,50.0,0.0
121,122,0,1.1999999999999535,1.2999999999999747,0.5000000000000158,1.1827652111465503e-07,1.0410283293674496e-07,8.867163868221105e-08,1.0,0.5,5.0,50.0,0.74
122,123,1,1.1999999999999755,1.299999999999987,0.5000000000000162,8.620821567567747e-08,7.588530797330287e-08,8.977755903843345e-08,1.0,0.13,5.0,50.0,0.0
123,124,1,1.199999999999987,1.299999999999993,0.5000000000000165,6.28649950924685e-08,5.534667008302062e-08,9.08975670133316e-08,1.0,0.13,5.0,50.0,0.0
124,125,1,1.1999999999999926,1.2999999999999958,0.5000000000000169,4.5885284926472404e-08,4.0408491554922897e-08,9.203170702220076e-08,1.0,0.13,5.0,50.0,0.0
125,126,1,1.1999999999999968,1.299999999999998,0.5000000000000175,3.355156603152553e-08,2.9558920380285366e-08,9.318008424828937e-08,1.0,0.13,5.0,50.0,0.0
126,127,1,1.1999999999999982,1.2999999999999992,0.5000000000000179,2.461644418016984e-08,2.1699474252422628e-08,9.434283780568139e-08,1.0,0.13,5.0,50.0,0.0
