,trial,response,mean_alpha,mean_beta,mean_gamma,sd_alpha,sd_beta,sd_gamma,p_null,p_reward,value_null,value_reward,amb_level
135,136,0,1.199999999999954,1.2999999999999947,0.5000000000018873,1.1704540123958376e-07,4.692778723684889e-08,9.714230774557394e-07,1.0,0.13,-5.0,-40.0,0.0
136,137,0,1.1999999999999782,1.2999999999999974,0.5000000000021063,8.070228733049723e-08,3.402381526989441e-08,1.0262346142670926e-06,1.0,0.13,-5.0,-40.0,0.0
137,138,0,1.1999999999999897,1.2999999999999987,0.5000000000023508,5.564387200219721e-08,2.5710246680826242e-08,1.0841388359694714e-06,1.0,0.13,-5.0,-40.0,0.0
138,139,0,1.1999999999999862,1.2999999999999976,0.5000000000007083,6.398331976952466e-08,3.055112059642731e-08,5.951863246594855e-07,1.0,0.5,-5.0,-8.0,0.24
139,140,0,1.1999999999999935,1.2999999999999987,0.5000000000007907,4.411621648754123e-08,2.41770606837087e-08,6.2876909464005e-07,1.0,0.13,-5.0,-40.0,0.0
140,141,0,1.1999999999999968,1.2999999999999992,0.5000000000008824,3.041793719741372e-08,2.046193626610133e-08,6.642467376563719e-07,1.0,0.13,-5.0,-40.0,0.0
141,142,0,1.199999999999996,1.2999999999999987,0.500000000000266,3.4995111252356065e-08,2.3738459457419994e-08,3.646678462828688e-07,1.0,0.5,-5.0,-8.0,0.24
142,143,0,1.199999999999998,1.2999999999999992,0.5000000000002969,2.4128974616624268e-08,2.114284537769563e-08,3.8524385071573095e-07,1.0,0.13,-5.0,-40.0,0.0
143,144,1,1.199999999999998,1.2999999999999992,0.5000000000003498,2.310415755470693e-08,2.0257447931410268e-08,4.182411869632902e-07,1.0,0.5,-5.0,-8.0,0.24
144,145,1,1.1999999999999986,1.2999999999999994,0.5000000000004124,2.2124803294098552e-08,1.941486314150114e-08,4.5406484788139706e-07,1.0,0.5,-5.0,-8.0,0.24
145,146,0,1.1999999999999982,1.2999999999999992,0.5000000000001243,2.545701226132441e-08,2.2276348134867258e-08,2.492791319236177e-07,1.0,0.5,-5.0,-8.0,0.24
146,147,0,1.199999999999999,1.2999999999999992,0.5000000000001388,1.7552497990082883e-08,2.0812771336994323e-08,2.633444480147808e-07,1.0,0.13,-5.0,-40.0,0.0
147,148,0,1.1999999999999986,1.2999999999999985,0.5000000000000417,2.0208048143146116e-08,2.372343657688929e-08,1.4457466968351122e-07,1.0,0.5,-5.0,-8.0,0.24
148,149,1,1.1999999999999988,1.2999999999999998,0.5000000000000452,1.8892043287926006e-08,5.281806594958277e-09,1.5031935978830735e-07,1.0,0.5,-5.0,-50.0,0.74
149,150,0,1.1999999999999995,1.3000000000000003,0.5000000000000505,1.3025981161515539e-08,3.7108349882567576e-09,1.5880097352914336e-07,1.0,0.13,-5.0,-40.0,0.0
150,151,0,1.1999999999999997,1.3,0.5000000000000563,8.981357283082306e-09,2.6559778683686427e-09,1.677611535184136e-07,1.0,0.13,-5.0,-40.0,0.0
151,152,1,1.1999999999999995,1.2999999999999998,0.5000000000000642,8.406098003830145e-09,2.5098819456850204e-09,1.7927354403851558e-07,1.0,0.5,-5.0,-5.0,0.0
152,153,1,1.1999999999999997,1.3,0.5000000000000734,7.867684429151329e-09,2.374528790934351e-09,1.9157595735417277e-07,1.0,0.5,-5.0,-5.0,0.0
153,154,1,1.1999999999999995,1.3,0.5000000000000838,7.363756549650211e-09,2.2492776313504153e-09,2.0472260775010787e-07,1.0,0.5,-5.0,-5.0,0.0
154,155,1,1.2,1.3000000000000003,0.5000000000000958,6.892105524421988e-09,2.133524930744107e-09,2.1877142989567603e-07,1.0,0.5,-5.0,-5.0,0.0
155,156,0,1.1999999999999997,1.3,0.5000000000000289,7.907969476049907e-09,2.5548040312048513e-09,1.2010432515763346e-07,1.0,0.5,-5.0,-8.0,0.24
156,157,1,1.1999999999999995,1.2999999999999998,0.5000000000000329,7.401461310439612e-09,2.4228829237862302e-09,1.2834632794174822e-07,1.0,0.5,-5.0,-5.0,0.0
157,158,1,1.2,1.3000000000000003,0.5000000000000376,6.927395266063015e-09,2.3011146845375707e-09,1.3715392742527265e-07,1.0,0.5,-5.0,-5.0,0.0
158,159,1,1.2,1.3000000000000003,0.5000000000000444,6.640444060821691e-09,2.170978065065783e-09,1.4890158868613388e-07,1.0,0.5,-5.0,-8.0,0.24
159,160,0,1.1999999999999997,1.3,0.500000000000009,8.647140350646513e-09,2.682362421499193e-09,6.7176764894262e-08,1.0,0.5,-5.0,-5.0,0.0
